//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight        itemCost
OFMSBS                                                                                               Fussy Multi Storer Base Small                      0             NULL
OFMSLL                                                                                               Fussy Multi Storer Lid Large                       0             NULL
OFMSLM                                                                                               Fussy Multi Storer Lid Medium                      0             NULL
OFMSLM01                                                                                             Fussy Multi Storer Lid Mini                        0             NULL
OFMSLS                                                                                               Fussy Multi Storer Lid Small                       0             NULL
OFLHB1                                                                                               Fussy New Big Hinge Clip                           NULL          NULL
OFLBB2                                                                                               Fussy New Mini Lunch Base                          NULL          NULL
OFLBL2                                                                                               Fussy New Mini Lunch Lid                           NULL          NULL
OFSPI03                                                                                              Fussy New Spice Base                               NULL          NULL
OFSPI02                                                                                              Fussy New Spice Lid                                NULL          NULL
OFVEG05                                                                                              Fussy Oval  Veg Rack                               0             NULL
OFTR01                                                                                               Fussy Oval Trays                                   0             NULL
OFPEN01                                                                                              Fussy Pencil Case                                  0             NULL
OFDB02                                                                                               Fussy Round Div Box Lid                            0             NULL
OFDB01                                                                                               Fussy Round Divion Box Base                        0             NULL
OFSBB10                                                                                              Fussy Salad Bowl Base                              NULL          NULL
OFSBL10                                                                                              Fussy Salad Bowl Lid                               NULL          NULL
OFSB00                                                                                               Fussy Shoe Bix Lid                                 NULL          NULL
OFSB01                                                                                               Fussy Shoe Box Base                                NULL          NULL
OFLH03                                                                                               Fussy Slim Hinged Lunch Box Base                   0             NULL
OFLBB001                                                                                             Fussy Snack Box Base                               0             1,4747
OFLBL001                                                                                             Fussy Snack Box Lid                                0             0,9218
OFSA001                                                                                              Fussy Space Saver Base 1000ml                      0             NULL
OFSA002                                                                                              Fussy Space Saver Lid 1000ml                       0             NULL
OFSPI01                                                                                              Fussy Spice Bowl & Lid                             0             1,2768
OFBA001                                                                                              Fussy Stack & Store Basket Only                    0             NULL
OFSFB01                                                                                              Fussy Stay Fresh Base 600ml                        0             NULL
OFSFL01                                                                                              Fussy Stay Fresh Lid 600ml                         0             NULL
OFSBB05                                                                                              Fussy Storage Box Base 1.2L                        0             NULL
OFSBB04                                                                                              Fussy Storage Box Base 1.7L                        0             NULL
OFSBB03                                                                                              Fussy Storage Box Base 1.9L                        0             NULL
OFSBB02                                                                                              Fussy Storage Box Base 30L                         0             NULL
OFSBB01                                                                                              Fussy Storage Box Base 50L                         0             NULL
OFSBH02                                                                                              Fussy Storage Box Handles 1.2L/1.7L/1.9L           0             NULL
OFSBH01                                                                                              Fussy Storage Box Handles 30/50L                   0             NULL
OFSBL03                                                                                              Fussy Storage Box Lid 1.2/1.9L                     0             NULL
OFSBL02                                                                                              Fussy Storage Box Lid 1.7L                         0             NULL
OFSBL01                                                                                              Fussy Storage Box Lid 30/50L                       0             NULL
OFSBW01                                                                                              Fussy Storage Box Wheels 30/50L                    0             NULL
FO751                                                                                                Fussy Stroke 5 Cap 4500/box                        0             NULL
OFBOW01                                                                                              Fussy Styrene Dessert Bowls                        0             NULL
OFSSB01                                                                                              Fussy Super Storer Base Large                      0             NULL
OFSSB02                                                                                              Fussy Super Storer Base Medium                     0             NULL
OFSSB03                                                                                              Fussy Super Storer Base Small                      0             NULL
OFSSL01                                                                                              Fussy Super Storer Lid Large                       0             NULL
OFSSL02                                                                                              Fussy Super Storer Lid Medium                      0             NULL
OFSSL03                                                                                              Fussy Super Storer Lid Small                       0             NULL
OFTCB01                                                                                              Fussy T/C/S Base                                   0             NULL
OFTCSL01                                                                                             Fussy T/C/S Lid                                    0             NULL
OFTUM01                                                                                              Fussy Tumblers                                     NULL          NULL
OFLBTSB                                                                                              Fussy Twin Slice Lunch Box Base                    NULL          NULL
OFLBTSL                                                                                              Fussy Twin Slice Lunch Box Lid                     NULL          NULL
OFVEG01                                                                                              Fussy Veg Rack Black Tubes                         0             NULL
OFVEG02                                                                                              Fussy Veg Rack Long Tubes                          0             NULL
OFVEG021                                                                                             Fussy Veg Rack NEW Long Tubes                      NULL          NULL
OFVEG04                                                                                              Fussy Veg Rack Sqaure                              0             6,3732
OFVEG042                                                                                             Fussy Veg Rack Sqaure Black                        0             NULL
OFVEG043                                                                                             Fussy Veg Rack Sqaure Silver                       0             NULL
OFVEG041                                                                                             Fussy Veg Rack Sqaure White                        0             NULL
OFVEG03                                                                                              Fussy Veg Rack Tops (8cav)                         0             NULL
OGUT01                                                                                               Gutter Brackets                                    0             NULL
GUT01                                                                                                Gutter Brackets BAS SA 300/box                     0             NULL
MEG005                                                                                               Honeydew Crate(Red)-942                            0             NULL
OFVE001                                                                                              Internal Airvents                                  0             NULL
OJ4P01                                                                                               Jet 4 Prong Hook Clip                              0             NULL
OJDUM01                                                                                              Jet Dumbell Runners 20/shot                        0             NULL
OJR501                                                                                               Jet R5 Hooks 24/shot                               0             NULL
OJFR001                                                                                              Jet Wheel Runnes Body/1000                         0             NULL
OJFR002                                                                                              Jet Wheel Runnes Rivot/1000                        0             NULL
JAR001                                                                                               Medium Candy Jar                                   0             NULL
MEGA0002                                                                                             Mega 150L Drum Lid                                 0             NULL
MEGA0004                                                                                             Mega 220L Drum Lid - VAN GUARD                     0             NULL
MEGA0005                                                                                             Mega Biscuit Box                                   0             NULL
MEGA0003                                                                                             Mega Crate (A301) Tamato Black                     0             NULL
MEGA0001                                                                                             Mega Crate (Shoreline Beverages) A973              0             NULL
OMFRUN                                                                                               Mono C Runners                                     0             NULL
OMHRUN01                                                                                             Mono Hush Runners 1000/pk                          0             NULL
OFMM003                                                                                              Munch Mate Base 1500ml                             0             1,16
OFMM001                                                                                              Munch Mate Base 500ml                              0             NULL
OFMM002                                                                                              Munch Mate Base 800ml                              36            0,72
OFMM0030                                                                                             Munch Mate Division Base 1500ml                    0             NULL
OFMM0031                                                                                             Munch Mate Lid 1500ml                              0             0,7581
OFMM0011                                                                                             Munch Mate Lid 500ml                               0             NULL
OFMM0021                                                                                             Munch Mate Lid 800ml                               0             NULL
CUS0007                                                                                              Nylon Bush - Ismine                                NULL          NULL
POS001                                                                                               POSTER FRAME                                       NULL          NULL
POS003                                                                                               POSTER FRAME BACK CLIPS (10CAV)                    NULL          NULL
POS002                                                                                               POSTER SIDE CLIPS (SET OF 5)                       NULL          NULL
CUS00041                                                                                             Rama Base - Crystal Styrene                        0             NULL
CUS0004                                                                                              Rama Butter Dish - Crystal Styrene                 0             NULL
CUS00042                                                                                             Rama Lid - Crystal Styrene                         0             NULL
