//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight
WK110                                                                                              Tidy Fruit Bowls                                  0
WK137                                                                                              Tidy Hangers                                      0
WK162                                                                                               Tidy Hinge Lunch Box                              0
WK138                                                                                              Tidy Juice Bottle Cap Only                        0
WK149                                                                                               Tidy Jumbo Lunch Box                              NULL
WK140                                                                                              Tidy Laundry Basket                               0
WK141                                                                                               Tidy Linen Basket Base                            0
WK143                                                                                               Tidy Linen Basket Handle                          NULL
WK142                                                                                               Tidy Linen Basket Lid                             0
WK148                                                                                              Tidy Mini Hinged Lunch Box                        0
WK075                                                                                               Tidy Mini Lid                                     0
WK227                                                                                               Tidy Mini Oval Tub                                0
WK175                                                                                               Tidy Multi Storer Base Large                      0
WK176                                                                                               Tidy Multi Storer Base Medium                     0
WK177                                                                                             Tidy Multi Storer Base Mini                       0
WK178                                                                                               Tidy Multi Storer Base Small                      0
WK179                                                                                               Tidy Multi Storer Lid Large                       0
WK180                                                                                               Tidy Multi Storer Lid Medium                      0
WK181                                                                                             Tidy Multi Storer Lid Mini                        0
WK182                                                                                               Tidy Multi Storer Lid Small                       0
WK165                                                                                               Tidy New Big Hinge Clip                           NULL
WK147                                                                                               Tidy New Mini Lunch Base                          NULL
WK153                                                                                               Tidy New Mini Lunch Lid                           NULL
WK212                                                                                              Tidy New Spice Base                               NULL
WK211                                                                                              Tidy New Spice Lid                                NULL
WK238                                                                                              Tidy Oval  Veg Rack                               0
WK226                                                                                               Tidy Oval Trays                                   0
WK185                                                                                              Tidy Pencil Case                                  0
WK119                                                                                               Tidy Round Div Box Lid                            0
WK118                                                                                               Tidy Round Divion Box Base                        0
WK196                                                                                              Tidy Salad Bowl Base                              NULL
WK202                                                                                              Tidy Salad Bowl Lid                               NULL
WK189                                                                                               Tidy Shoe Bix Lid                                 NULL
WK190                                                                                               Tidy Shoe Box Base                                NULL
WK164                                                                                               Tidy Slim Hinged Lunch Box Base                   0
WK145                                                                                             Tidy Snack Box Base                               0
WK151                                                                                             Tidy Snack Box Lid                                0
WK187                                                                                              Tidy Space Saver Base 1000ml                      0
WK188                                                                                              Tidy Space Saver Lid 1000ml                       0
WK210                                                                                              Tidy Spice Bowl & Lid                             0
WK096                                                                                              Tidy Stack & Store Basket Only                    0
WK204                                                                                              Tidy Stay Fresh Base 600ml                        0
WK205                                                                                              Tidy Stay Fresh Lid 600ml                         0
WK195                                                                                              Tidy Storage Box Base 1.2L                        0
WK194                                                                                              Tidy Storage Box Base 1.7L                        0
WK193                                                                                              Tidy Storage Box Base 1.9L                        0
WK192                                                                                              Tidy Storage Box Base 30L                         0
WK191                                                                                              Tidy Storage Box Base 50L                         0
WK198                                                                                              Tidy Storage Box Handles 1.2L/1.7L/1.9L           0
WK197                                                                                              Tidy Storage Box Handles 30/50L                   0
WK201                                                                                              Tidy Storage Box Lid 1.2/1.9L                     0
WK200                                                                                              Tidy Storage Box Lid 1.7L                         0
WK199                                                                                              Tidy Storage Box Lid 30/50L                       0
WK203                                                                                              Tidy Storage Box Wheels 30/50L                    0
WK031                                                                                                Tidy Stroke 5 Cap 4500/box                        0
WK109                                                                                              Tidy Styrene Dessert Bowls                        0
WK213                                                                                              Tidy Super Storer Base Large                      0
